epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,669.228,1.13877,1.9799,1.28911,0.70122,0.60758,0.71228,0.48669,1.18359,2.06151,1.3353,0.000366554,0.000366554,0.000366554
2,1305.33,1.03452,1.11173,1.18531,0.67088,0.61184,0.67842,0.45022,1.25305,1.78928,1.4666,0.000729593,0.000729593,0.000729593
3,1937.49,1.04387,1.04128,1.18728,0.87895,0.63489,0.71907,0.49501,1.16164,1.37437,1.3447,0.0010853,0.0010853,0.0010853
4,2566.69,0.99587,0.96479,1.17158,0.72664,0.69428,0.73191,0.49008,1.21727,1.31108,1.3744,0.001078,0.001078,0.001078
5,3223.2,0.98621,0.9068,1.15614,0.78603,0.6219,0.71157,0.50453,1.15383,1.27025,1.3297,0.001067,0.001067,0.001067
6,3832.87,0.95421,0.84436,1.14036,0.78538,0.72192,0.77836,0.5537,1.08364,1.04015,1.28819,0.00105601,0.00105601,0.00105601
7,4429.82,0.92299,0.78709,1.12713,0.79447,0.75498,0.80215,0.57245,1.05262,0.97713,1.24431,0.00104501,0.00104501,0.00104501
8,5053.74,0.92095,0.74632,1.11607,0.81533,0.71964,0.79657,0.57755,1.06823,0.94042,1.25986,0.00103401,0.00103401,0.00103401
9,5670.35,0.90086,0.72768,1.10822,0.80171,0.75426,0.8071,0.58916,1.04097,0.87295,1.2267,0.00102301,0.00102301,0.00102301
10,6294.62,0.88311,0.69994,1.09876,0.8104,0.74629,0.81054,0.59491,1.02368,0.86732,1.22653,0.00101201,0.00101201,0.00101201
11,6916.17,0.88614,0.67783,1.09884,0.81061,0.70929,0.79138,0.5826,1.01514,0.84983,1.20916,0.00100101,0.00100101,0.00100101
12,7538.1,0.88767,0.67646,1.10493,0.80149,0.75216,0.80785,0.59728,0.99785,0.87169,1.20669,0.000990012,0.000990012,0.000990012
13,8161.46,0.87077,0.65438,1.08784,0.81359,0.74205,0.79891,0.5726,1.04515,0.8534,1.23701,0.000979013,0.000979013,0.000979013
14,8782.17,0.86219,0.64527,1.08563,0.81861,0.78038,0.83608,0.60539,1.00554,0.76025,1.20734,0.000968014,0.000968014,0.000968014
15,9404.45,0.86185,0.62559,1.07852,0.90417,0.75472,0.8442,0.61908,0.96219,0.73347,1.17516,0.000957015,0.000957015,0.000957015
16,10026,0.85351,0.62051,1.07872,0.83676,0.74388,0.79673,0.59774,0.9889,0.77503,1.19376,0.000946016,0.000946016,0.000946016
17,10647.6,0.84293,0.60517,1.07003,0.80198,0.79897,0.81782,0.6097,0.96605,0.71458,1.18873,0.000935018,0.000935018,0.000935018
18,11264.9,0.82807,0.59358,1.06481,0.80677,0.82369,0.86186,0.65095,0.92912,0.68101,1.15792,0.000924019,0.000924019,0.000924019
19,11885.6,0.81957,0.5761,1.06115,0.8325,0.84583,0.86379,0.61593,0.9905,0.69013,1.19553,0.00091302,0.00091302,0.00091302
20,12506.8,0.83217,0.58218,1.06996,0.86147,0.77691,0.83539,0.62481,0.95679,0.69128,1.18309,0.000902021,0.000902021,0.000902021
21,13126.5,0.81736,0.5755,1.06673,0.90538,0.76764,0.85092,0.63938,0.93362,0.65621,1.14324,0.000891022,0.000891022,0.000891022
22,13747,0.81424,0.56417,1.05954,0.85787,0.79769,0.84317,0.62857,0.96595,0.684,1.16196,0.000880023,0.000880023,0.000880023
23,14368.9,0.80369,0.55841,1.05429,0.8432,0.82396,0.85885,0.6518,0.92518,0.63881,1.15602,0.000869024,0.000869024,0.000869024
24,14988.3,0.7921,0.53427,1.04765,0.85012,0.81892,0.86082,0.65364,0.90438,0.62516,1.13225,0.000858025,0.000858025,0.000858025
25,15609.8,0.78567,0.5319,1.04215,0.87546,0.78102,0.84526,0.64473,0.94218,0.6333,1.16298,0.000847026,0.000847026,0.000847026
26,16229.5,0.78444,0.52891,1.03859,0.87298,0.79891,0.86034,0.64578,0.93038,0.6378,1.15356,0.000836027,0.000836027,0.000836027
27,16851.4,0.79797,0.54174,1.04826,0.85893,0.81691,0.86231,0.65303,0.90652,0.60967,1.13531,0.000825029,0.000825029,0.000825029
28,17474.8,0.77127,0.52206,1.03488,0.86679,0.76516,0.85087,0.65509,0.90174,0.65143,1.13001,0.00081403,0.00081403,0.00081403
29,18095.9,0.7773,0.51542,1.03669,0.89543,0.79526,0.86328,0.65896,0.90554,0.62251,1.13571,0.000803031,0.000803031,0.000803031
30,18716.5,0.76302,0.51807,1.03194,0.84181,0.81842,0.87544,0.67354,0.89238,0.59482,1.10712,0.000792032,0.000792032,0.000792032
31,19336.7,0.76308,0.51128,1.03449,0.88128,0.82913,0.87833,0.67237,0.89802,0.59716,1.12396,0.000781033,0.000781033,0.000781033
32,19956.6,0.76263,0.49602,1.03315,0.82553,0.78917,0.84694,0.65135,0.89999,0.61372,1.12535,0.000770034,0.000770034,0.000770034
33,20579,0.77299,0.51571,1.02708,0.84893,0.80581,0.85043,0.65286,0.87986,0.60905,1.10447,0.000759035,0.000759035,0.000759035
34,21199.5,0.76113,0.50373,1.02594,0.89972,0.81001,0.88702,0.68581,0.87477,0.54983,1.10539,0.000748036,0.000748036,0.000748036
35,21821.2,0.76019,0.49421,1.02046,0.86364,0.78215,0.85122,0.66456,0.87808,0.62242,1.11766,0.000737037,0.000737037,0.000737037
36,22439.1,0.74881,0.48802,1.0233,0.90139,0.77547,0.85936,0.67246,0.87418,0.58312,1.10661,0.000726038,0.000726038,0.000726038
37,23059.6,0.74095,0.48256,1.01756,0.9096,0.80967,0.86703,0.67149,0.86932,0.56413,1.10691,0.00071504,0.00071504,0.00071504
38,23679.5,0.73981,0.46823,1.01157,0.87462,0.82554,0.8739,0.6748,0.86963,0.56704,1.09548,0.000704041,0.000704041,0.000704041
39,24301.5,0.7346,0.47249,1.01573,0.8648,0.84813,0.89378,0.68496,0.85982,0.55281,1.09656,0.000693042,0.000693042,0.000693042
40,24920.9,0.73975,0.46428,1.00977,0.91815,0.81975,0.89307,0.67415,0.8922,0.55776,1.1217,0.000682043,0.000682043,0.000682043
41,25541.4,0.73172,0.4546,1.00772,0.87962,0.85223,0.89621,0.70513,0.84312,0.53778,1.08032,0.000671044,0.000671044,0.000671044
42,26161.5,0.72131,0.4538,1.00789,0.86683,0.82504,0.87813,0.67938,0.85453,0.53319,1.09071,0.000660045,0.000660045,0.000660045
43,26782.5,0.72431,0.46024,1.00831,0.91218,0.82112,0.89218,0.69226,0.85324,0.53921,1.08952,0.000649046,0.000649046,0.000649046
44,27400.8,0.71636,0.45518,1.00352,0.87175,0.85544,0.88432,0.6834,0.85914,0.53551,1.09143,0.000638047,0.000638047,0.000638047
45,28020.6,0.71943,0.44681,0.99703,0.86623,0.82548,0.87126,0.6813,0.84411,0.5463,1.08639,0.000627048,0.000627048,0.000627048
46,28641.8,0.71399,0.44896,1.00688,0.85353,0.86025,0.88943,0.69203,0.85738,0.53259,1.09129,0.000616049,0.000616049,0.000616049
47,29260.1,0.70994,0.44812,0.99618,0.93083,0.83517,0.90135,0.69393,0.84121,0.51567,1.08383,0.000605051,0.000605051,0.000605051
48,29879.7,0.70827,0.44202,1.00309,0.90456,0.84744,0.9103,0.70578,0.82932,0.51082,1.07985,0.000594052,0.000594052,0.000594052
49,30500.4,0.70744,0.44183,0.9963,0.88976,0.81616,0.88929,0.70357,0.83621,0.54144,1.08191,0.000583053,0.000583053,0.000583053
